Name,Category,Description,Website,Email,Phone,Address,City,State,Zip,Source_URL
1 Smokin Ash Hole,,,http://www.thevoiceofyourcustomer.com/,Email available (Cloudflare protected),513-679-7751,100 South Cooper Avenue,Cincinnati,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/1-smokin-ash-hole/
6 'N The Mornin',,,https://www.6nthemornin.com/,Email available (Cloudflare protected),513-221-0510 ,1535 Madison Road,Cincinnati,OH,45206,https://thevoiceofblackcincinnati.com/black-owned-business/6-n-the-mornin/
A Better You Counseling,,,https://abetterucounseling.com/,Email available (Cloudflare protected),513-294-8330,260 Northland Blvd,Cincinnati,OH,45246,https://thevoiceofblackcincinnati.com/black-owned-business/a-better-you-counseling/
A Crystal Mind,,,https://www.acrystalmind.com,Email available (Cloudflare protected),513-923-6336,4015 Executive Park Dr.,Cincinnati,OH,45241,https://thevoiceofblackcincinnati.com/black-owned-business/a-crystal-mind-mental-health/
A. Lowe Creative Photography,,,http://www.alowephoto.biz/,Email available (Cloudflare protected),513-921-5179,748 Elberon Ave,Cincinnati,OH,45205,https://thevoiceofblackcincinnati.com/black-owned-business/a-lowe-creative-photography/
A Mirage Beauty Salon,,,https://amiragebeautysalon.com/,Email available (Cloudflare protected),513-961-4464,1016 E McMillan St,Cincinnati,OH,45206,https://thevoiceofblackcincinnati.com/black-owned-business/a-mirage-beauty-salon/
A Mother's Touch Cakes,,,https://www.facebook.com/amotherstouchcakes/,Email available (Cloudflare protected),513-225-4823,1801 Race Street,Cincinnati,OH,45202,https://thevoiceofblackcincinnati.com/black-owned-business/a-mothers-touch-cakes/
A Place 4 Seniors,,,https://www.aplace4seniors.org/index.html,Email available (Cloudflare protected),513-931-2747,40 Eswin Street,Cincinnat,OH,45218,https://thevoiceofblackcincinnati.com/black-owned-business/a-place-4-seniors/
A.R.T. Art Resource Team,,,https://www.artresourceteam.com/,Email available (Cloudflare protected),513-662-1998,506 Wyoming Avenue,Cincinnati,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/a-r-t-art-resource-team/
A Sound Mind Counseling,,,https://www.asoundmindcounseling.com/,Email available (Cloudflare protected),513-948-0023​,203 E. Galbraith Road,Cincinnati,OH,45216,https://thevoiceofblackcincinnati.com/black-owned-business/a-sound-mind-counseling/
A Touch of Class Cleaning,,,http://www.atouchofclassclean.com/,Email available (Cloudflare protected),513-293-7250,122 S. Wayne Avenue,Cincinnati,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/a-touch-of-class-cleaning/
ABEL Commercial Building Systems,,,https://abelbuildingsystems.com/,Email available (Cloudflare protected),513-772-0401,47 Tech View Dr,Cincinnati,OH,45215,https://thevoiceofblackcincinnati.com/black-owned-business/abel-building-systems/
Abiona Hair Design,,,https://www.facebook.com/bionastyle/,Email available (Cloudflare protected),513-371-8072,1817 W. Galbraith Ave,Cincinnati,OH,45239,https://thevoiceofblackcincinnati.com/black-owned-business/abiona-hair-design/
Acuity Services LLC,,,http://www.acuityservices.info,Email available (Cloudflare protected),513-376-8035,1114 W Kemper Rd,Cincinnati,OH,45240,https://thevoiceofblackcincinnati.com/black-owned-business/acuity-services/
Adanech Corporation In-Home Care Agency,,,http://www.adanechcorporation.com,Email available (Cloudflare protected),513-538-5015,3284 North Bend Road Suite 205,Cincinnati,OH,45239,https://thevoiceofblackcincinnati.com/black-owned-business/adanech-corporation/
Adrienne’s Love: Full-Spectrum Doula Support & Organic Products,,,https://www.adrienneslove.com/,Email available (Cloudflare protected),513-293-1438,P.O. Box 18483,Fairfield,OH,45018,https://thevoiceofblackcincinnati.com/black-owned-business/adriennes-love-full-spectrum-doula-support/
