Name,Category,Description,Website,Phone,Address,Source
1 Smokin Ash Hole,"Restaurants, Eateries and Caterers","1 Smokin Ash HoleSpecializing in authentic pit-smoked meats and soulful sidesRestaurants, Eateries and Caterers1 Smokin Ash Hole is a Black-owned BBQ restaurant located in the Lockland neighborhood of Cincinnati. Owned by Le Cordon bleu alumna Chef Antoine Williams, 1 Smokin ash hole is known for its authentic pit-smoked meats and soulful sides.   Menu Offerings Brisket Lamb Beef Ribs Turkey Ribs Pulled Pork Jerk Chicken Smoked Wings And...Read More...",,,,Main Page
6 'N The Mornin',"Restaurants, Eateries and Caterers","6 'N The Mornin'Specializing in Southern style breakfastRestaurants, Eateries and Caterers6 'N The Mornin' is a Black-owned breakfast restaurant serving classic breakfast dishes like pancakes, french toast, eggs, and more. Breakfast is the most essential part of the day, and the staff's job is to ensure that customers get the most significant meal for every hard-earned dollar. Owner Trey Graham and the team at 6...Read More...",,,,Main Page
A Better You Counseling,Health and Fitness,"A Better You CounselingHelping you find calm and peace when life becomes too muchHealth and FitnessA Better You Counseling is a Black-owned therapy practice specializing in treating individuals, couples and families. Located in Springdale, this counselor addresses the issues you face and the coping strategies to help you out.   You might be initially hesitant to seek out help and support for personal matters. However, when you do, you will...Read More...",,,,Main Page
A Crystal Mind,Health and Fitness,"A Crystal MindSpecializing in mental health and medication managementHealth and FitnessA Crystal Mind is a female, Black-owned psychiatric and mental health practice conveniently located in Sharonville, Ohio. The goal is to expand access to mental healthcare services. Along with this, assisting patients on their journeys to becoming the best versions of themselves is the end target.  A Crystal Mind offers in-office and telehealth appointments for...Read More...",,,,Main Page
A Mirage Beauty Salon,Beauty and Barber,"A Mirage Beauty SalonBeauty and BarberA Mirage Beauty Salon, LLC is a Black-owned hair salon located in Walnut Hills near Evanston and Mt. Auburn whose main purpose is to concentrate on the health and condition of your hair. Here you will find no manicurist or pedicurist just the best hair care for you and your evolving lifestyle. A Mirage Beauty...Read More...",,,,Main Page
A Mother's Touch Cakes,"Restaurants, Eateries and Caterers","A Mother's Touch CakesSpecializing in Vegan, Organic, Sugar-Free and Gluten-Free dessertsRestaurants, Eateries and CaterersA Mother's Touch Cakes is a Black-owned licensed bakery specializing in Vegan, Organic, Sugar-Free and Gluten-Free desserts. This bakery uses only natural products and everything is made from scratch. Orders are baked fresh and can be available within 24 hours of purchase.   Although A Mother's Touch Cakes doesn't have a physical store, they can...Read More...",,,,Main Page
A Place 4 Seniors,Professional Services,"A Place 4 SeniorsProfessional Services,Daycare/PreschoolA Place 4 Seniors is a Black-owned senior center that provides a safe, family-oriented environment for seniors to socialize, engage in stimulating activities, and enjoy freshly prepared meals. The senior social club in Greenhills offers a supportive community where everyone feels valued and cherished. The program is offered to seniors 65 years of age and...Read More...",,,,Main Page
A Sound Mind Counseling,Health and Fitness,"A Sound Mind CounselingProviding quality therapy to people of all ethnic and cultural backgroundsHealth and FitnessA Sound Mind Counseling Service is a Black-owned, private behavioral health practice. Shantel Thomas, Ph.D.  PCC-S, LSW is the President and CEO of this private practice. Committed to providing quality therapy to people of all ethnic and cultural backgrounds. The private practice provides a full range of mental health services to help the client's well-being....Read More...",,,,Main Page
A Touch of Class Cleaning,Construction and Home Improvement,"A Touch of Class CleaningNo need to fret or fuss, leave the cleaning to us!Construction and Home ImprovementA Touch of Class is a Black woman-owned commercial cleaning company for home builders, construction site management, and commercial customers. The goal is to take the hassle out of cleaning and give the customer more time to focus on other property and construction site management responsibilities. Services Office cleaning. Commercial cleaning. Residential cleaning. COVID-19 cleaning...Rea...",,,,Main Page
A. Lowe Creative Photography,Photography & Videography,"A. Lowe Creative PhotographyWe Make the Difference in Your ImagePhotography & VideographyA. Lowe Creative Photography is a Black-owned photography studio located in East Price Hill just blocks from Holy Family Church, Mt. Echo Park, and Cincinnati Christian University. The studio is a small brick building with a yellow awning and a driveway for parking and is open 24 hours on Monday, Wednesday, and Thursday. Owned by...Read More...",,,,Main Page
